cost_center_id,cost_center_name,account_id,account_name,fiscal_year,month,budget_amount
CC100,Sales,6010,Salaries & Wages,2026,1,80000.0
CC100,Sales,6010,Salaries & Wages,2026,2,80000.0
CC100,Sales,6010,Salaries & Wages,2026,3,80000.0
CC100,Sales,6010,Salaries & Wages,2026,4,80000.0
CC100,Sales,6010,Salaries & Wages,2026,5,80000.0
CC100,Sales,6010,Salaries & Wages,2026,6,80000.0
CC100,Sales,6010,Salaries & Wages,2026,7,80000.0
CC100,Sales,6010,Salaries & Wages,2026,8,80000.0
CC100,Sales,6010,Salaries & Wages,2026,9,80000.0
CC100,Sales,6010,Salaries & Wages,2026,10,80000.0
CC100,Sales,6010,Salaries & Wages,2026,11,80000.0
CC100,Sales,6010,Salaries & Wages,2026,12,80000.0
CC200,Marketing,6010,Salaries & Wages,2026,1,60000.0
CC200,Marketing,6010,Salaries & Wages,2026,2,60000.0
CC200,Marketing,6010,Salaries & Wages,2026,3,60000.0
CC200,Marketing,6010,Salaries & Wages,2026,4,60000.0
CC200,Marketing,6010,Salaries & Wages,2026,5,60000.0
CC200,Marketing,6010,Salaries & Wages,2026,6,60000.0
CC200,Marketing,6010,Salaries & Wages,2026,7,60000.0
CC200,Marketing,6010,Salaries & Wages,2026,8,60000.0
CC200,Marketing,6010,Salaries & Wages,2026,9,60000.0
CC200,Marketing,6010,Salaries & Wages,2026,10,60000.0
CC200,Marketing,6010,Salaries & Wages,2026,11,60000.0
CC200,Marketing,6010,Salaries & Wages,2026,12,60000.0
CC300,Engineering,6010,Salaries & Wages,2026,1,150000.0
CC300,Engineering,6010,Salaries & Wages,2026,2,150000.0
CC300,Engineering,6010,Salaries & Wages,2026,3,150000.0
CC300,Engineering,6010,Salaries & Wages,2026,4,150000.0
CC300,Engineering,6010,Salaries & Wages,2026,5,150000.0
CC300,Engineering,6010,Salaries & Wages,2026,6,150000.0
CC300,Engineering,6010,Salaries & Wages,2026,7,150000.0
CC300,Engineering,6010,Salaries & Wages,2026,8,150000.0
CC300,Engineering,6010,Salaries & Wages,2026,9,150000.0
CC300,Engineering,6010,Salaries & Wages,2026,10,150000.0
CC300,Engineering,6010,Salaries & Wages,2026,11,150000.0
CC300,Engineering,6010,Salaries & Wages,2026,12,150000.0
CC400,G&A,6010,Salaries & Wages,2026,1,50000.0
CC400,G&A,6010,Salaries & Wages,2026,2,50000.0
CC400,G&A,6010,Salaries & Wages,2026,3,50000.0
CC400,G&A,6010,Salaries & Wages,2026,4,50000.0
CC400,G&A,6010,Salaries & Wages,2026,5,50000.0
CC400,G&A,6010,Salaries & Wages,2026,6,50000.0
CC400,G&A,6010,Salaries & Wages,2026,7,50000.0
CC400,G&A,6010,Salaries & Wages,2026,8,50000.0
CC400,G&A,6010,Salaries & Wages,2026,9,50000.0
CC400,G&A,6010,Salaries & Wages,2026,10,50000.0
CC400,G&A,6010,Salaries & Wages,2026,11,50000.0
CC400,G&A,6010,Salaries & Wages,2026,12,50000.0
CC100,Sales,6020,Employee Benefits,2026,1,16000.0
CC100,Sales,6020,Employee Benefits,2026,2,16000.0
CC100,Sales,6020,Employee Benefits,2026,3,16000.0
CC100,Sales,6020,Employee Benefits,2026,4,16000.0
CC100,Sales,6020,Employee Benefits,2026,5,16000.0
CC100,Sales,6020,Employee Benefits,2026,6,16000.0
CC100,Sales,6020,Employee Benefits,2026,7,16000.0
CC100,Sales,6020,Employee Benefits,2026,8,16000.0
CC100,Sales,6020,Employee Benefits,2026,9,16000.0
CC100,Sales,6020,Employee Benefits,2026,10,16000.0
CC100,Sales,6020,Employee Benefits,2026,11,16000.0
CC100,Sales,6020,Employee Benefits,2026,12,16000.0
CC200,Marketing,6020,Employee Benefits,2026,1,12000.0
CC200,Marketing,6020,Employee Benefits,2026,2,12000.0
CC200,Marketing,6020,Employee Benefits,2026,3,12000.0
